o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
24388,286,F,85970.26,1995-01-27,1-URGENT,Clerk#000000146,0,tegrate fluffily against th
24389,406,O,51144.38,1998-01-25,3-MEDIUM,Clerk#000000809,0,hely. bravely ironic packages
24390,709,F,195797.79,1992-06-07,5-LOW,Clerk#000000307,0,beans sleep slyly afte
24391,82,F,187692.78,1994-03-07,5-LOW,Clerk#000000555,0, ideas. excuses doze quickly against the quickly special t
24416,4,O,184512.04,1996-10-18,5-LOW,Clerk#000000672,0,s haggle blithely ironic instr
24417,752,O,224785.59,1998-06-26,4-NOT SPECIFIED,Clerk#000000964,0,ess foxes alongside of the blithely reg
24418,1367,F,144304.96,1992-08-23,3-MEDIUM,Clerk#000000652,0, even sentiments. entici
24419,199,O,270127.56,1998-07-21,5-LOW,Clerk#000000254,0,express theodolites detect blithely requests. i
24420,956,F,218975.17,1992-05-17,2-HIGH,Clerk#000000187,0,"latelets. furiously unusual pinto beans are slyly about the pending, ev"
24421,1192,O,27457.03,1997-07-09,2-HIGH,Clerk#000000863,0,ites. carefully unusual deposits cajole. furiously ironic fre
24422,233,O,118415.06,1995-12-30,1-URGENT,Clerk#000000785,0,"osits. carefully silent excuses haggle express, silent pint"
24423,1051,O,37642.97,1998-01-21,2-HIGH,Clerk#000000748,0,ly regular excuses haggle furiously furiously silent packages
24448,1367,F,179763.12,1992-02-07,2-HIGH,Clerk#000000896,0, x-ray carefully. express acco
24449,520,O,157440.02,1997-06-20,3-MEDIUM,Clerk#000000379,0,alms boost slowly fluffily pending tithes. blithely bold 
24450,320,F,298830.92,1992-07-10,1-URGENT,Clerk#000000858,0,leep against the slyly sly platelets-- furiously regular packages wake.
24451,25,F,70375.62,1992-12-04,1-URGENT,Clerk#000000079,0,ar forges cajole bold
24452,1364,F,62266.62,1994-05-08,2-HIGH,Clerk#000000732,0,l dependencies sleep furiously final re
24453,508,F,47717.72,1992-05-21,2-HIGH,Clerk#000000695,0,ithely final ideas. slyly regular foxes br
24454,878,F,77284.69,1994-04-13,3-MEDIUM,Clerk#000000701,0,ietly along the quickly silent deposits. slyly unusual t
24455,988,F,161934.00,1994-12-07,4-NOT SPECIFIED,Clerk#000000339,0,nding depths wake furiously. carefully spe
24480,275,F,47092.86,1994-03-05,2-HIGH,Clerk#000000856,0,"tes sleep fluffily. pending, express accounts a"
24481,725,O,81346.28,1995-12-02,3-MEDIUM,Clerk#000000632,0,"ges. express, express accounts wake besides the slyly bold packages. dolphins "
24482,1124,O,15789.29,1995-12-10,2-HIGH,Clerk#000000774,0,kages. final instructions sleep. careful
24483,677,O,179278.59,1996-03-31,3-MEDIUM,Clerk#000000903,0,t the quickly pending packages nag furiously about the furiously regular
24484,958,F,254244.13,1995-01-12,3-MEDIUM,Clerk#000000297,0, instructions. ironic courts cajole. slyly bold
24485,232,F,7685.97,1994-04-27,5-LOW,Clerk#000000065,0,need to solve. ruthlessly express accounts cajole bli
24486,727,P,235827.59,1995-04-23,3-MEDIUM,Clerk#000000345,0," the unusual, pending braids"
24487,832,F,48808.69,1992-02-17,4-NOT SPECIFIED,Clerk#000000166,0,t the even ideas. blithely s
24512,346,O,123293.97,1995-08-26,3-MEDIUM,Clerk#000000475,0, ironic requests haggle: regularly final ac
24513,1370,O,36298.21,1998-01-15,1-URGENT,Clerk#000000012,0,lets. fluffily final deposits above the fluffily regul
24514,88,O,89336.76,1995-11-09,4-NOT SPECIFIED,Clerk#000000233,0,packages should have to impress slyly silent
24515,1483,F,299861.33,1993-05-07,1-URGENT,Clerk#000000042,0,ckages across the blithely even dolphins use furiously excuses. iron
24516,535,F,78986.47,1993-10-11,2-HIGH,Clerk#000000891,0,egular foxes across the sl
24517,280,F,39791.86,1994-06-09,4-NOT SPECIFIED,Clerk#000000267,0,"ites. bold, regular theodolites haggle boldly pending instruction"
24518,1118,O,117862.04,1997-09-24,5-LOW,Clerk#000000445,0,kages. fluffily regular
24519,952,O,266550.91,1995-06-12,1-URGENT,Clerk#000000982,0,s. carefully final packages along the express requests n
24544,193,F,189411.48,1994-01-27,2-HIGH,Clerk#000000812,0,"bold, express ideas. even accounts affix after the rut"
24545,1171,O,249977.68,1996-06-22,5-LOW,Clerk#000000131,0,usual requests serve slyly above the fluffily unu
24546,331,F,275451.23,1992-03-27,1-URGENT,Clerk#000000401,0,"use. even, regular dolphins affix-- slyly final ideas use furiously. car"
24547,820,O,55893.99,1997-07-19,4-NOT SPECIFIED,Clerk#000000520,0,"requests haggle carefully across the even, final multip"
24548,1294,F,18638.98,1995-03-15,2-HIGH,Clerk#000000108,0,ously. quickly idle packages haggle furiously. furiously final theod
24549,727,O,83476.46,1997-03-23,4-NOT SPECIFIED,Clerk#000000462,0,lites. daringly final theodolites boost blithely final ideas. slyly enticing i
24550,1136,O,150617.49,1996-10-24,1-URGENT,Clerk#000000978,0,ular ideas wake sly
24551,1295,O,332472.53,1997-01-07,5-LOW,Clerk#000000867,0,l deposits sleep furiously
24576,164,F,128616.15,1992-12-12,4-NOT SPECIFIED,Clerk#000000208,0, packages are blithely against the reg
24577,1139,F,115629.77,1993-03-02,3-MEDIUM,Clerk#000000491,0,ans. blithely bold platelets alongside of th
24578,544,O,68186.91,1996-09-30,2-HIGH,Clerk#000000660,0,onic tithes wake slyly quickly quick account
24579,877,F,242138.55,1992-11-19,2-HIGH,Clerk#000000460,0,sly quickly brave deposits. slyly special packages wake-- pending pinto 
24580,1415,F,65003.05,1992-06-24,2-HIGH,Clerk#000000538,0,"ous, even requests cajole slyly "
24581,1144,F,91452.54,1993-04-10,2-HIGH,Clerk#000000803,0,y ironic foxes nag furiously according to the blithe
24582,913,O,208109.69,1996-07-01,1-URGENT,Clerk#000000118,0, dolphins are against the slyly ironic deposits. 
24583,1288,O,59281.30,1995-08-10,1-URGENT,Clerk#000000115,0,"lly ironic, even pinto bea"
24608,29,F,161783.79,1992-08-15,3-MEDIUM,Clerk#000000320,0,beans. blithely special excuses along the daringly even theodolites 
24609,7,F,151012.65,1994-08-10,2-HIGH,Clerk#000000176,0,c packages affix furiousl
24610,955,F,301207.03,1993-01-19,4-NOT SPECIFIED,Clerk#000000859,0,"kages. ironic deposits wake furiously ironic, regular f"
24611,584,O,257766.61,1998-06-15,1-URGENT,Clerk#000000170,0,its above the carefully 
24612,181,F,58587.39,1994-06-14,5-LOW,Clerk#000000777,0,ess packages across the r
24613,1048,F,251169.56,1992-07-17,5-LOW,Clerk#000000555,0, beans. regular deposits integrate slyly along the perma
24614,724,F,24852.16,1994-11-22,5-LOW,Clerk#000000256,0,ly ironic ideas. carefully regular excuses x-ray pending dinos. even pin
24615,1444,F,119010.65,1993-08-13,1-URGENT,Clerk#000000332,0,e after the quickly express dolphins. blithely even pa
24640,419,F,207700.55,1995-01-30,3-MEDIUM,Clerk#000000184,0,"osits; regular, regular accounts haggle quickly. ironic accounts "
24641,235,O,142841.10,1996-03-14,5-LOW,Clerk#000000131,0,"eodolites. ironic accounts sleep carefully. even, even instructions are "
24642,494,O,141379.21,1996-10-19,1-URGENT,Clerk#000000397,0,"ven dependencies. final, bold requests print furiously among t"
24643,230,F,42609.02,1992-04-30,3-MEDIUM,Clerk#000000498,0,"nusual, ironic pinto beans are carefully even id"
24644,256,F,74607.88,1994-07-29,1-URGENT,Clerk#000000248,0,ests among the theodolites cajole alongside of the slyly
24645,532,F,49774.90,1994-11-20,3-MEDIUM,Clerk#000000017,0, silent theodolites. foxes boost furiously alongside of
24646,1142,P,158826.92,1995-04-16,4-NOT SPECIFIED,Clerk#000000185,0, carefully against the fluffily express theodolites. slyly un
24647,1072,F,172558.66,1994-06-05,4-NOT SPECIFIED,Clerk#000000193,0,"pecial accounts. slyly silent foxes are ironic, regular requests. ca"
24672,826,F,272325.49,1992-03-18,3-MEDIUM,Clerk#000000794,0,t packages sleep furiously carefully unusual i
24673,196,O,83138.61,1997-06-21,3-MEDIUM,Clerk#000000127,0,s. blithely regular depende
24674,91,O,120739.49,1996-05-15,2-HIGH,Clerk#000000449,0,", final accounts. furiously ironic accounts haggle regular, pendin"
24675,512,F,36515.94,1994-05-28,3-MEDIUM,Clerk#000000725,0,refully. final packages boost 
24676,199,F,12938.26,1994-04-01,5-LOW,Clerk#000000860,0,ing pinto beans. carefully fi
24677,101,F,45755.28,1992-03-06,5-LOW,Clerk#000000139,0,ironic ideas: dolphins a
24678,17,O,148704.59,1997-07-27,3-MEDIUM,Clerk#000000049,0,ronically final accounts affix furiousl
24679,170,P,259867.81,1995-05-08,4-NOT SPECIFIED,Clerk#000000472,0,uriously even deposits nag quickly f
24704,1208,F,37423.39,1994-10-31,4-NOT SPECIFIED,Clerk#000000042,0,te furiously furiously expre
24705,536,O,136660.50,1995-09-16,1-URGENT,Clerk#000000443,0,thely regular deposits? silently even pinto beans about the furiously reg
24706,58,F,29716.40,1992-04-24,2-HIGH,Clerk#000000559,0,ly ironic courts after the deposits sleep final ideas? carefully 
24707,1421,F,121224.43,1992-03-11,3-MEDIUM,Clerk#000000878,0,nstructions. carefully special dependencies cajole carefully furiou
24708,733,F,46158.50,1992-12-05,4-NOT SPECIFIED,Clerk#000000315,0,asymptotes sleep carefully. ironic theodolites could wake slyly 
24709,479,F,14623.67,1995-01-16,2-HIGH,Clerk#000000935,0,ly even accounts haggle furiously carefully ironic packages
24710,1001,F,56548.72,1993-10-01,5-LOW,Clerk#000000859,0,"arefully express accounts. ironic, final asymptotes haggle across t"
24711,769,F,201644.14,1992-10-28,2-HIGH,Clerk#000000341,0,ven accounts. slyly even account
24736,149,O,297907.56,1998-01-15,2-HIGH,Clerk#000000390,0,ake blithely about the slyly bold packages. ideas wake final requests-- 
24737,218,F,236347.29,1994-12-07,2-HIGH,Clerk#000000916,0,r packages do are about the carefully final ideas. blithely unusual or
24738,1067,F,58891.52,1993-11-13,3-MEDIUM,Clerk#000000416,0,press braids wake flu
24739,44,O,126749.91,1996-05-25,4-NOT SPECIFIED,Clerk#000000585,0," carefully final, even excuses; deposits nag above the quickly silent sau"
24740,1432,F,60242.92,1993-01-11,3-MEDIUM,Clerk#000000205,0,nto beans against the blithely even 
24741,1147,O,85394.39,1996-11-11,1-URGENT,Clerk#000000576,0,usly bold deposits. furiously even deposits sleep along the quickly regular in
24742,1330,F,67055.37,1995-04-09,1-URGENT,Clerk#000000322,0,ular foxes are furiously. fluffi
24743,89,F,83971.36,1992-06-29,5-LOW,Clerk#000000201,0,fily enticing pinto beans hang slyly after the theodo
24768,1001,O,97110.39,1998-05-09,3-MEDIUM,Clerk#000000492,0,y final dolphins arou
24769,1276,O,241665.37,1995-11-25,3-MEDIUM,Clerk#000000518,0,gle accounts. carefully ironic epita
24770,1438,F,58221.07,1992-03-25,1-URGENT,Clerk#000000909,0,ts along the final braids haggle after the boldly unusual p
24771,85,O,185952.99,1996-04-09,5-LOW,Clerk#000000497,0,"s may sleep against the final, dogged deposits. unusual, ironic deposits sl"
24772,700,O,14088.57,1996-06-28,5-LOW,Clerk#000000937,0,"osits. blithely special deposits eat quickly according to the pending, fina"
24773,841,O,96318.85,1998-04-24,5-LOW,Clerk#000000776,0,nding theodolites wake quickly during the final deco
24774,1231,O,77982.71,1997-05-20,2-HIGH,Clerk#000000382,0,rthogs use furiously special instructions. carefully 
24775,607,F,50020.13,1992-02-18,1-URGENT,Clerk#000000701,0,al theodolites integrat
24800,1084,O,244698.14,1998-04-15,3-MEDIUM,Clerk#000000199,0,nding deposits wake blithe
24801,1138,F,76078.40,1992-11-16,2-HIGH,Clerk#000000929,0,lites boost blithely a
24802,256,F,84226.32,1994-01-24,3-MEDIUM,Clerk#000000677,0, final instructions--
24803,1381,O,102333.43,1997-02-25,4-NOT SPECIFIED,Clerk#000000925,0,ely even epitaphs wake slyly along the
24804,1498,O,110276.95,1995-05-28,4-NOT SPECIFIED,Clerk#000000648,0,"r, blithe requests haggle besides the quickly ruthless foxes. furiously final"
24805,590,F,105390.57,1994-11-04,3-MEDIUM,Clerk#000000884,0, sleep; quickly regular deposits sleep above the furiously permanen
24806,625,F,64511.87,1993-09-07,4-NOT SPECIFIED,Clerk#000000426,0,"l foxes use. ironic, ironic requests cajole around the bold"
24807,1306,O,13344.82,1996-04-02,5-LOW,Clerk#000000188,0,"sts. bold instructions sleep. even, fin"
24832,379,O,386334.55,1997-03-19,2-HIGH,Clerk#000000279,0,posits. quickly pending pinto beans above
24833,1376,F,156838.81,1993-07-17,4-NOT SPECIFIED,Clerk#000000250,0,nic accounts. ironic foxes wake 
24834,391,F,35349.50,1994-06-19,2-HIGH,Clerk#000000542,0,uickly ironic accounts across the requests haggle
24835,464,O,86231.81,1998-02-02,2-HIGH,Clerk#000000183,0,t about the final packages. blithely
24836,386,O,227542.53,1998-05-26,2-HIGH,Clerk#000000442,0,arefully final theodolites. slyly express theodolit
24837,469,O,196175.57,1997-04-15,5-LOW,Clerk#000000216,0,ully around the pending deposits. deposits beyond the ca
24838,599,O,249823.34,1997-06-20,2-HIGH,Clerk#000000013,0,es. fluffily daring deposits sleep regularly furiously enti
24839,767,O,264550.46,1998-07-19,3-MEDIUM,Clerk#000000435,0,scapades haggle ironically platelets. quickly express excuses sleep carefull
24864,400,F,154307.14,1992-01-16,1-URGENT,Clerk#000000199,0,atelets around the blith
24865,497,F,220181.87,1992-03-20,2-HIGH,Clerk#000000599,0,"packages nag furiously express platelets. packages use quietly. bold, bold pac"
24866,737,F,162258.66,1993-12-05,4-NOT SPECIFIED,Clerk#000000941,0,to the slyly regular instructions haggle carefully s
24867,856,F,12641.80,1994-02-01,2-HIGH,Clerk#000000211,0,ng the carefully regular packages
24868,241,F,193326.87,1992-05-27,2-HIGH,Clerk#000000892,0,ide of the daringly express deposits. requests are 
24869,319,F,229144.28,1994-06-11,4-NOT SPECIFIED,Clerk#000000854,0, ideas. even accounts use along
24870,862,F,86742.06,1994-04-25,5-LOW,Clerk#000000621,0,s are fluffily. furiously final foxes are. packages use care
24871,236,P,326576.48,1995-03-24,3-MEDIUM,Clerk#000000347,0,express instructions-- carefully bold deposits lose. blithely final request
24896,490,F,108701.72,1993-02-19,3-MEDIUM,Clerk#000000943,0,quests. express packages wake furiously. pending packages across the slyly e
24897,110,O,111959.02,1998-02-06,3-MEDIUM,Clerk#000000823,0,s hinder requests. finally re
24898,1187,O,220221.83,1997-01-20,5-LOW,Clerk#000000399,0,egular theodolites print slyly near the furiously silent accounts. slyly 
24899,715,O,235398.02,1995-08-21,4-NOT SPECIFIED,Clerk#000000874,0,tect ironically blithely bold instructions. instructions wake slyly
24900,200,O,289213.34,1996-08-05,1-URGENT,Clerk#000000578,0,"y alongside of the slyly even packages. final, silent packages use slyly. c"
24901,367,O,135859.62,1996-08-31,5-LOW,Clerk#000000114,0,s. blithely even theodolites boost slyly 
24902,709,F,220592.00,1993-05-27,2-HIGH,Clerk#000000557,0,pinto beans. quickly regular dependencies are according 
24903,1258,F,310652.81,1993-10-20,5-LOW,Clerk#000000120,0,sleep. furiously pending requests wake fluffily regular packa
24928,1153,O,28273.54,1996-04-15,4-NOT SPECIFIED,Clerk#000000039,0,eodolites cajole blithely according to the silently final package
24929,316,O,96283.19,1996-10-01,4-NOT SPECIFIED,Clerk#000000121,0,ial requests nag quickly express deposits. accounts sleep always eve
24930,502,O,148609.19,1998-04-18,2-HIGH,Clerk#000000095,0,"ests cajole. bold, final accounts wake fu"
24931,1189,O,325132.77,1995-11-08,5-LOW,Clerk#000000060,0,s kindle carefully regular dependencies. fina
24932,932,O,66201.87,1996-02-25,1-URGENT,Clerk#000000562,0,ully express packages. slyly ruthless instruc
24933,269,F,165997.33,1994-07-27,5-LOW,Clerk#000000770,0,ironic excuses. blithely bold e
24934,635,F,11569.89,1995-01-31,2-HIGH,Clerk#000000901,0,sits boost quickly regular pinto beans. quick
24935,1300,O,43331.41,1998-07-24,3-MEDIUM,Clerk#000000120,0,"pecial platelets lose. special, unusual pack"
24960,371,F,299406.40,1995-01-28,2-HIGH,Clerk#000000402,0,ntly quickly final packages. blithely
24961,1175,F,30499.54,1993-01-27,5-LOW,Clerk#000000965,0,"ut the pending, final"
24962,199,O,129824.29,1998-02-09,1-URGENT,Clerk#000000372,0,final dugouts haggle pending pearls. care
24963,1145,O,228247.51,1995-12-24,4-NOT SPECIFIED,Clerk#000000914,0,ts. quickly final packages use across the blithely unusu
24964,31,F,167234.03,1994-12-30,5-LOW,Clerk#000000182,0,wake carefully according to t
24965,394,P,206568.65,1995-03-30,5-LOW,Clerk#000000071,0,osits cajole carefully. even instruc
24966,1481,O,198977.51,1995-12-18,3-MEDIUM,Clerk#000000675,0,egular foxes. somas are. furiously special accounts along 
24967,298,O,129415.47,1997-03-14,4-NOT SPECIFIED,Clerk#000000118,0,excuses sleep carefully along the blithely bol
24992,866,O,150377.92,1998-03-24,3-MEDIUM,Clerk#000000052,0,s use regular requests. theodoli
24993,532,F,136144.20,1993-03-12,2-HIGH,Clerk#000000475,0,are carefully above the slyly ironic
24994,1189,O,88503.67,1998-06-25,5-LOW,Clerk#000000741,0,ly final ideas. carefully c
24995,647,O,67902.95,1997-11-27,5-LOW,Clerk#000000881,0,"ermanent, final deposits. quickly ironic dependencies thras"
24996,1031,O,269181.24,1995-09-26,1-URGENT,Clerk#000000110,0,efully special requests. furi
24997,938,O,174879.52,1998-07-19,4-NOT SPECIFIED,Clerk#000000848,0,ly furiously ironic requests. slyly final accounts wake across the re
24998,653,O,132572.66,1996-07-19,3-MEDIUM,Clerk#000000719,0,nding requests. sometimes pending deposits haggle blithely. carefully bold
24999,559,O,40039.22,1997-03-28,4-NOT SPECIFIED,Clerk#000000966,0, furiously pending accounts wake slyly. ideas ought to dete
25024,631,O,20117.35,1997-07-05,5-LOW,Clerk#000000014,0,e at the carefully thin accounts. exp
25025,1336,O,18285.28,1996-09-24,3-MEDIUM,Clerk#000000952,0,s. carefully silent foxes wake. da
25026,1342,O,149345.57,1996-09-01,1-URGENT,Clerk#000000930,0,s. slyly bold theodolites
25027,73,F,166484.33,1994-12-17,3-MEDIUM,Clerk#000000156,0,as alongside of the furiously regular pinto
25028,436,F,157847.93,1995-01-06,1-URGENT,Clerk#000000346,0,l cajole ironically. fur
25029,1376,O,69416.93,1997-11-15,2-HIGH,Clerk#000000284,0,e bold requests! slyly fi
25030,1024,O,62230.79,1998-07-15,1-URGENT,Clerk#000000172,0, final accounts wake furiously throughout the excuses. furiously fi
25031,1411,F,174269.18,1994-08-24,2-HIGH,Clerk#000000677,0,rious instructions are blithely fluffily
25056,367,F,107345.62,1993-09-22,4-NOT SPECIFIED,Clerk#000000286,0,ic sauternes. final accounts boost. furiously ironic theodol
25057,319,O,17181.32,1998-05-01,1-URGENT,Clerk#000000830,0,"ual, final foxes above the furiously final requests cajole fi"
25058,739,P,63449.96,1995-05-07,5-LOW,Clerk#000000230,0,e silent deposits. slyly final frets ought to sleep above the quickly 
25059,311,O,9272.98,1997-11-16,4-NOT SPECIFIED,Clerk#000000744,0,accounts nag. even ideas was. speci
25060,625,F,199377.41,1994-07-21,4-NOT SPECIFIED,Clerk#000000844,0,ly express packages 
25061,952,O,187634.96,1995-12-19,3-MEDIUM,Clerk#000000200,0, even instructions use fluffi
25062,772,F,101660.52,1993-10-31,1-URGENT,Clerk#000000084,0,"arefully regular deposits. special, final"
25063,209,F,37911.97,1994-06-30,4-NOT SPECIFIED,Clerk#000000170,0, final instructions. 
25088,739,O,160430.44,1998-06-20,2-HIGH,Clerk#000000907,0,"ts. express, even excuses sleep furi"
25089,640,O,89653.76,1998-07-30,2-HIGH,Clerk#000000683,0,nstructions. slyly final courts are carefully. ideas kindle 
25090,1097,F,113870.23,1993-05-16,4-NOT SPECIFIED,Clerk#000000854,0,s across the ironic ideas haggle around the blithely even fox
25091,806,F,67625.86,1993-02-20,3-MEDIUM,Clerk#000000166,0,heodolites wake according to 
25092,976,F,233856.01,1993-12-02,2-HIGH,Clerk#000000336,0, carefully silent requests haggle blithely against the carefully unusual acco
25093,694,F,166358.47,1992-10-29,3-MEDIUM,Clerk#000000328,0,requests use after the slyly ironic pinto beans. slyly quiet requests hag
25094,1099,F,43084.38,1994-04-23,3-MEDIUM,Clerk#000000732,0,sits are blithely alongside of the quickly close deposits. furiously expres
25095,1231,F,276231.12,1995-01-26,5-LOW,Clerk#000000057,0,the packages; slyly final accounts are in place of the furio
25120,346,F,171182.59,1994-02-05,3-MEDIUM,Clerk#000000686,0,". ironic, express deposits m"
25121,85,F,79831.06,1993-11-17,2-HIGH,Clerk#000000061,0,tes haggle slyly instead of the carefully regular asymptotes. notornis aft
25122,17,O,74400.72,1998-07-03,2-HIGH,Clerk#000000457,0,ress ideas haggle slyl
25123,1097,F,55784.54,1992-09-22,5-LOW,Clerk#000000429,0,ously regular excuses; quickly bold d
25124,902,O,247909.47,1997-12-02,5-LOW,Clerk#000000789,0,venly express ideas grow about the furiously regular theodolites. careful
25125,824,O,113540.22,1997-08-30,3-MEDIUM,Clerk#000000237,0,. pinto beans poach blithely across the quickly enticing accounts? deposits
25126,904,F,295370.03,1992-12-24,1-URGENT,Clerk#000000611,0,"s are above the even, bold accounts. quickly"
25127,1051,O,167208.88,1996-07-13,4-NOT SPECIFIED,Clerk#000000201,0,ular platelets would nag quickly! sly
25152,880,F,146218.07,1992-10-16,1-URGENT,Clerk#000000221,0,"es. carefully final accounts haggle across the even, sil"
25153,1274,O,31526.70,1997-12-22,4-NOT SPECIFIED,Clerk#000000582,0,s. bold accounts outside the carefully regular deposits wa
25154,316,F,127197.35,1993-08-21,2-HIGH,Clerk#000000235,0,"usly past the pending, fin"
25155,1315,F,324896.39,1993-01-21,5-LOW,Clerk#000000646,0,press dependencies. foxe
25156,197,O,254306.44,1996-02-21,3-MEDIUM,Clerk#000000952,0,nts. theodolites haggle furious
25157,1399,F,166140.20,1993-05-26,4-NOT SPECIFIED,Clerk#000000453,0,ding excuses after th
25158,422,O,147542.77,1996-08-26,1-URGENT,Clerk#000000622,0, pinto beans; furiously special requests may sleep furiously. fur
25159,97,O,129727.49,1996-03-27,3-MEDIUM,Clerk#000000304,0,the bold foxes use furio
25184,1222,F,83850.59,1995-02-28,4-NOT SPECIFIED,Clerk#000000120,0,unts haggle deposits. carefully
25185,943,F,29207.11,1993-05-26,3-MEDIUM,Clerk#000000441,0,requests. packages integrate fluf
25186,811,O,132409.03,1996-10-24,5-LOW,Clerk#000000838,0,ncies. fluffily even foxes print blithely quickly p
25187,1300,O,38654.98,1997-02-15,4-NOT SPECIFIED,Clerk#000000199,0,arefully even requests haggle carefully regular reques
25188,865,F,151038.18,1995-01-04,3-MEDIUM,Clerk#000000293,0,e carefully pending instru
25189,235,F,161440.03,1993-11-13,3-MEDIUM,Clerk#000000813,0,oldly regular packages nag. carefully 
25190,1435,O,124264.96,1997-12-03,3-MEDIUM,Clerk#000000838,0,"ular requests lose furiously above the regular, final dolphin"
25191,778,P,241779.84,1995-03-31,3-MEDIUM,Clerk#000000322,0,ntegrate quickly. bold requests haggle. bold requests aft
25216,34,F,83299.94,1992-12-08,1-URGENT,Clerk#000000552,0,ts dazzle slyly final instructions. slyly final packages haggle furiously abov
25217,634,O,107424.06,1998-06-25,3-MEDIUM,Clerk#000000648,0,packages according to the furiously bold instructi
25218,871,O,290711.63,1998-03-24,3-MEDIUM,Clerk#000000352,0,. packages sleep carefully silent requests
25219,35,O,168971.02,1997-09-13,4-NOT SPECIFIED,Clerk#000000703,0,osits. blithely special deposits sleep blithely. final dolphins nag f
25220,652,O,73387.96,1997-12-09,2-HIGH,Clerk#000000638,0,ns are quickly express cour
25221,814,O,266235.53,1995-06-15,5-LOW,Clerk#000000415,0,s are through the brave somas. carefully express pac
25222,109,O,169405.48,1997-11-23,1-URGENT,Clerk#000000019,0,use carefully silent asymptotes. 
25223,886,O,179001.86,1996-05-09,5-LOW,Clerk#000000508,0,s blithely final pac
25248,458,O,69770.75,1995-12-02,3-MEDIUM,Clerk#000000234,0,olites sleep furiously final idea
25249,1004,F,123807.39,1992-11-07,3-MEDIUM,Clerk#000000802,0,ously carefully special requests. asymptotes 
25250,329,O,56670.88,1995-07-20,5-LOW,Clerk#000000513,0," boost requests. blithely ironic platelets along the regular, regular pinto "
25251,1043,O,211731.77,1996-05-16,4-NOT SPECIFIED,Clerk#000000459,0,en escapades. deposits wake. carefu
25252,1090,F,41633.01,1992-07-23,4-NOT SPECIFIED,Clerk#000000969,0,slowly ironic pinto beans. carefully bold instruc
25253,40,O,353894.29,1995-07-31,5-LOW,Clerk#000000534,0,"sual requests are slyly instructions. unusual, special deposit"
25254,1267,F,251661.61,1993-09-18,1-URGENT,Clerk#000000329,0,nts cajole. platelets detect according to the foxes; 
25255,490,F,142137.24,1992-02-21,1-URGENT,Clerk#000000356,0,eodolites. slyly ironic requests boost carefully blithely ironic
25280,4,O,115422.02,1995-05-22,4-NOT SPECIFIED,Clerk#000000234,0,ons are among the furiously bold 
25281,58,O,149842.32,1996-03-30,1-URGENT,Clerk#000000736,0,le slyly. furiously pending reque
25282,439,O,298603.29,1996-01-04,3-MEDIUM,Clerk#000000217,0,egular accounts. quickly regular requests snooz
25283,370,O,206530.94,1998-06-28,4-NOT SPECIFIED,Clerk#000000882,0,haggle around the regular requests. slyly r
25284,304,F,161440.76,1993-09-19,1-URGENT,Clerk#000000224,0,ites detect blithely against the packages. blithely sly accounts sle
25285,1298,O,25944.77,1995-09-18,3-MEDIUM,Clerk#000000585,0,ven multipliers above the instructions are across the 
25286,671,O,115642.43,1996-07-29,1-URGENT,Clerk#000000464,0,ickly ironic requests. even deposits are furiously. fl
25287,853,F,95117.66,1993-12-17,1-URGENT,Clerk#000000881,0,riously above the furiously even pai
25312,464,O,89045.13,1996-03-22,2-HIGH,Clerk#000000020,0,ptotes cajole braids. furiously bold asymptotes cajole. unusual instruc
25313,124,F,102736.72,1992-08-22,1-URGENT,Clerk#000000534,0,int quickly about the slyly regular multipli
25314,347,F,282388.67,1992-02-25,2-HIGH,Clerk#000000433,0,"ng to the final ideas. brave, bold sheaves against the fluffily final f"
25315,586,F,210178.05,1993-12-03,5-LOW,Clerk#000000888,0," packages according to the pending, final packages sleep "
25316,1385,O,158437.90,1996-11-26,3-MEDIUM,Clerk#000000291,0,e idly. blithely pending pinto beans c
25317,154,O,50001.33,1995-07-03,4-NOT SPECIFIED,Clerk#000000222,0,"aggle fluffily final, express requests. ironic platel"
25318,238,O,225013.81,1995-11-20,1-URGENT,Clerk#000000189,0,ependencies could have to wake carefully. ironic packages affix care
25319,955,O,170904.73,1997-02-19,3-MEDIUM,Clerk#000000838,0,lyly pending courts. f
25344,343,O,53666.41,1997-04-06,1-URGENT,Clerk#000000038,0,slyly regular requests x-ray quic
25345,1457,O,55797.33,1996-05-01,4-NOT SPECIFIED,Clerk#000000104,0,riously above the bravely fin
25346,577,O,151720.59,1997-08-24,5-LOW,Clerk#000000655,0,ckages sleep at the slyly sp
25347,640,F,141369.62,1994-06-13,5-LOW,Clerk#000000263,0,eposits. carefully ironic ideas maintain slyly dolphins. quiet
25348,763,F,169474.56,1992-05-10,1-URGENT,Clerk#000000989,0,cies doubt furiously across the de
25349,53,O,63363.97,1996-02-03,3-MEDIUM,Clerk#000000246,0," accounts. unusual accounts are quickly final ideas. express,"
25350,1184,F,280721.16,1993-12-04,4-NOT SPECIFIED,Clerk#000000320,0, packages use carefully about the blithely express theodolites. fur
25351,1498,F,38200.42,1992-01-16,3-MEDIUM,Clerk#000000470,0,even requests. carefully stealthy requests boost. ruthless pac
25376,49,F,91216.64,1995-03-27,1-URGENT,Clerk#000000699,0,"regular, even pinto beans among the quickly special pin"
